NC/RC,% Ri,shi,0.9/intop1(T)
RC,7.525,1.8,0.936911277
RC,7.525,1.9,0.937154064
RC,7.525,2,0.937403743
RC,8.02,0,0.935430614
RC,8.02,0.1,0.935497005
RC,8.02,0.2,0.935575908
RC,8.02,0.3,0.935667102
RC,8.02,0.4,0.935770341
RC,8.02,0.5,0.935885368
RC,8.02,0.6,0.936011908
RC,8.02,0.7,0.936149679
RC,8.02,0.8,0.936298384
RC,8.02,0.9,0.936457718
RC,8.02,1,0.936627363
RC,8.02,1.1,0.936806992
RC,8.02,1.2,0.936996272
RC,8.02,1.3,0.93719486
RC,8.02,1.4,0.937402406
RC,8.02,1.5,0.937618554
RC,8.02,1.6,0.937842942
RC,8.02,1.7,0.938075205
RC,8.02,1.8,0.938314971
RC,8.02,1.9,0.938561866
RC,8.02,2,0.938815515
RC,8.515,0,0.936738848
RC,8.515,0.1,0.936811284
RC,8.515,0.2,0.936896163
RC,8.515,0.3,0.936993258
RC,8.515,0.4,0.937102319
RC,8.515,0.5,0.937223084
RC,8.515,0.6,0.937355273
RC,8.515,0.7,0.9374986
RC,8.515,0.8,0.937652765
RC,8.515,0.9,0.937817455
RC,8.515,1,0.937992352
RC,8.515,1.1,0.938177125
RC,8.515,1.2,0.938371434
RC,8.515,1.3,0.938574936
RC,8.515,1.4,0.938787275
RC,8.515,1.5,0.939008094
RC,8.515,1.6,0.939237029
RC,8.515,1.7,0.939473709
RC,8.515,1.8,0.939717761
RC,8.515,1.9,0.93996881
RC,8.515,2,0.940226478
RC,9.01,0,0.93804486
RC,9.01,0.1,0.93812336
RC,9.01,0.2,0.938214232
RC,9.01,0.3,0.938317246
RC,9.01,0.4,0.938432148
RC,9.01,0.5,0.93855867
RC,9.01,0.6,0.938696528
RC,9.01,0.7,0.938845432
RC,9.01,0.8,0.939005077
RC,9.01,0.9,0.939175147
RC,9.01,1,0.93935532
RC,9.01,1.1,0.93954526
RC,9.01,1.2,0.939744626
RC,9.01,1.3,0.939953068
RC,9.01,1.4,0.940170231
RC,9.01,1.5,0.940395752
RC,9.01,1.6,0.940629265
RC,9.01,1.7,0.940870397
RC,9.01,1.8,0.941118772
RC,9.01,1.9,0.941374013
RC,9.01,2,0.94163574
RC,9.505,0,0.939347958
RC,9.505,0.1,0.939432531
RC,9.505,0.2,0.939529407
RC,9.505,0.3,0.939638352
RC,9.505,0.4,0.939759106
RC,9.505,0.5,0.939891396
RC,9.505,0.6,0.940034937
RC,9.505,0.7,0.940189431
RC,9.505,0.8,0.94035457
RC,9.505,0.9,0.940530036
RC,9.505,1,0.940715501
RC,9.505,1.1,0.940910626
RC,9.505,1.2,0.941115067
RC,9.505,1.3,0.941328472
RC,9.505,1.4,0.94155048
RC,9.505,1.5,0.941780727
RC,9.505,1.6,0.942018844
RC,9.505,1.7,0.942264456
RC,9.505,1.8,0.942517183
RC,9.505,1.9,0.942776648
RC,9.505,2,0.943042467
RC,10,0,0.940647496
RC,10,0.1,0.940738146
RC,10,0.2,0.94084103
RC,10,0.3,0.940955909
RC,10,0.4,0.94108252
RC,10,0.5,0.941220585
RC,10,0.6,0.941369813
RC,10,0.7,0.941529905
RC,10,0.8,0.941700546
RC,10,0.9,0.941881416
RC,10,1,0.942072183
RC,10,1.1,0.942272505
RC,10,1.2,0.942482034
RC,10,1.3,0.942700414
RC,10,1.4,0.942927284
RC,10,1.5,0.943162274
RC,10,1.6,0.943405015
RC,10,1.7,0.943655127
RC,10,1.8,0.943912231
RC,10,1.9,0.944175945
RC,10,2,0.944445884
NC,0.1,0,0.908215845
NC,0.595,0,0.910000268
NC,1.09,0,0.911822102
NC,1.585,0,0.913677019
NC,2.08,0,0.915560781
NC,2.575,0,0.917469265
NC,3.07,0,0.919398494
NC,3.565,0,0.921344661
NC,4.06,0,0.923304147
NC,4.555,0,0.925273539
NC,5.05,0,0.927249633
NC,5.545,0,0.929229445
NC,6.04,0,0.931210207
NC,6.535,0,0.933189383
NC,7.03,0,0.935164625
NC,7.525,0,0.937133812
NC,8.02,0,0.939095014
NC,8.515,0,0.941046496
NC,9.01,0,0.942986705
NC,9.505,0,0.944914257
NC,10,0,0.946827923
